,Metric,Conversion Type,Mean Change,T,z,Effect Size,Wilcoxon P-val
0,-SLOR,P to A,0.48118971977187547,702450.0,-82.89245296937663,0.8205967008470328,0.0
1,Surp. STD,P to A,0.11984302262291864,14164539.0,-34.307661173932324,0.33962987660055516,3.0161806638983063e-258
2,Local Var.,P to A,0.032309188278929424,20618211.0,-11.016304948602903,0.10905629128490207,1.5944095393771345e-28
3,-SLOR,A to P,0.17685469372795498,260100867.0,-106.03345797481356,0.43658463943723813,0.0
4,Surp. STD,A to P,0.02336721435823011,576966772.0,-3.0356315923796244,0.012498980506116779,0.0012001622723291768
5,Local Var.,A to P,0.05318651295343994,471521922.0,-37.31066775703669,0.1536238159255137,5.509942824472712e-305
