,Metric,Conversion Type,Mean Change,T,z,Effect Size,Wilcoxon P-val
0,-SLOR,P to A,0.40657397792555505,11382.0,-20.240862002168598,0.77620162498772,2.1381224077740383e-91
1,Surp. STD,P to A,0.29928492306124804,42116.0,-14.16319492248407,0.5431337317883064,7.739672365654472e-46
2,Local Var.,P to A,0.1502863381410531,72355.0,-8.18341439204285,0.31381961639632777,1.379561548364313e-16
3,-SLOR,A to P,0.3008052478484129,18884619.0,-63.46917730115039,0.48598657823685204,0.0
4,Surp. STD,A to P,0.09239410941169027,41591165.0,-16.30113005964171,0.12481854588235819,4.8442067365162376e-60
5,Local Var.,A to P,0.03581763085779645,40668110.0,-18.218581610685987,0.13950056568868807,1.8377976275452006e-74
