,Metric,Conversion Type,Mean Change,T,z,Effect Size,Wilcoxon P-val
0,-SLOR,P to A,0.39936827667926483,11382.0,-20.240862002168598,0.77620162498772,2.1381224077740383e-91
1,Surp. STD,P to A,0.20735432825068947,42116.0,-14.16319492248407,0.5431337317883064,7.739672365654472e-46
2,Local Var.,P to A,0.11709496380476289,72355.0,-8.18341439204285,0.31381961639632777,1.379561548364313e-16
3,-SLOR,A to P,0.23347718481921295,18884619.0,-63.46917730115039,0.48598657823685204,0.0
4,Surp. STD,A to P,0.09050607331871321,41591165.0,-16.30113005964171,0.12481854588235819,4.8442067365162376e-60
5,Local Var.,A to P,0.0647079069168062,40668110.0,-18.218581610685987,0.13950056568868807,1.8377976275452006e-74
